genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Catenulispora	0	0	0	0	2	0	0	0	0	0
Rubellimicrobium	0	0	0	0	0	0	0	0	0	2
Candidatus_Nitrosopumilus	0	0	0	0	0	2	0	0	0	0
Megasphaera	0	2	0	0	0	0	0	0	0	0
Taibaiella	0	0	0	0	0	0	0	0	2	0
Rhodohalobacter	0	0	0	0	0	0	2	0	0	0
bacterium_Ellin6515	0	0	0	2	0	0	0	0	0	0
Odoribacter	0	0	0	2	0	0	0	0	0	0
Chlamydiales_bacterium_CRIB_32	0	0	0	0	0	0	0	0	2	0
Rhodococcus	0	0	0	0	2	0	0	0	0	0
Monoglobus	0	0	0	0	0	0	2	0	0	0
Runella	0	0	0	2	0	0	0	0	0	0
Candidatus_Metachlamydia	0	0	0	0	0	0	2	0	0	0
Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	2
Symbiobacterium	0	0	0	0	0	0	2	0	0	0
Thermoactinomyces	2	0	0	0	0	0	0	0	0	0
